n_samples,Theta_hat,Boot_Mean,CI_Low,CI_High,CI_Mean
25.0,0.604,0.647856547719256,0.4,0.7666666666666667,0.5833333333333334
50.0,0.6935,0.717188967449694,0.5438675213675214,0.7924450549450549,0.6681562881562881
75.0,0.72527654948244,0.7300238524290951,0.6124425936382457,0.81099339257234,0.7117179931052928
100.0,0.7501205711477474,0.7452883774985212,0.6691858678955452,0.8288131868131868,0.748999527354366
150.0,0.7710671612937623,0.754890655007299,0.7201628380820928,0.84635607349731,0.7832594557897015
200.0,0.8219651141131707,0.797175402764655,0.7902745067325176,0.8877126735247509,0.8389935901286343
250.0,0.8378308192267478,0.8175842964832004,0.813020757020757,0.8907096987540536,0.8518652278874053
338.0,0.8660060479988066,0.8383527648990545,0.8590388737036958,0.8941614799414696,0.8766001768225826
